Price,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
2000,AUDI,A4,2000,Hatchback,No,Petrol,2.8,1000 km,5.0,Automatic,Front,04-May,Left wheel,Pink,3
9408,AUDI,A5,2013,Coupe,Yes,Petrol,2.0 Turbo,87000 km,6.0,Automatic,Rear,02-Mar,Left wheel,Black,8
549,AUDI,A6,2016,Sedan,Yes,Petrol,2,97826 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
48296,AUDI,Q7,2012,Jeep,Yes,Petrol,3.0 Turbo,185600 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
251,AUDI,A6,2011,Sedan,Yes,Petrol,3,196069 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
58018,AUDI,A7,2012,Coupe,Yes,Petrol,3.0 Turbo,161000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,12
157,AUDI,A7,2014,Hatchback,Yes,Petrol,3,401128 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
36400,AUDI,Q5,2012,Jeep,Yes,Petrol,3.2,101000 km,1.0,Tiptronic,4x4,04-May,Left wheel,White,12
4704,AUDI,A7,2014,Hatchback,Yes,Petrol,3,401128 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
706,AUDI,A8,2015,Sedan,Yes,Diesel,3,131674 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
62722,AUDI,Q7,2014,Jeep,Yes,Petrol,3.0 Turbo,92000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
19130,AUDI,A4 premium,2010,Sedan,Yes,Petrol,2,168000 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,12
3058,AUDI,A7,2014,Hatchback,Yes,Petrol,3,140507 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
549,AUDI,A6,2016,Sedan,Yes,Petrol,2,97826 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
21012,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
11760,AUDI,Q5,2014,Sedan,Yes,Diesel,3,66661 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
470,AUDI,Q5,2016,Jeep,Yes,Diesel,3,29501 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
3293,AUDI,A4,2013,Sedan,Yes,Petrol,2,151469 km,4.0,Automatic,4x4,04-May,Left wheel,White,12
20698,AUDI,Q7,2013,Jeep,Yes,Diesel,3,194342 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
706,AUDI,A4,2014,Sedan,Yes,Petrol,2,162032 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
13328,AUDI,Q7,2017,Jeep,Yes,Petrol,3,44642 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
33870,AUDI,A8,2012,Sedan,Yes,Petrol,4.2,200000 km,8.0,Automatic,4x4,04-May,Left wheel,Black,10
314,AUDI,Q5,2011,Jeep,Yes,Petrol,2,287021 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
39201,AUDI,Q5,2015,Jeep,Yes,Petrol,3,54683 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
29166,AUDI,Q5,2014,Jeep,Yes,Petrol,2.0 Turbo,71000 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,12
627,AUDI,A6,2012,Sedan,Yes,Petrol,3,168176 km,6.0,Automatic,4x4,04-May,Left wheel,Brown,12
111332,AUDI,A8,2016,Sedan,Yes,Petrol,3.0 Turbo,33000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
706,AUDI,A4,2014,Sedan,Yes,Petrol,2,162032 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
6429,AUDI,RS6,2017,Sedan,Yes,Petrol,4,34483 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,12
862,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
8467,AUDI,Q7,2014,Jeep,Yes,Diesel,3,98803 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
549,AUDI,Q7,2015,Jeep,Yes,Petrol,3,71717 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
2352,AUDI,Q7,2011,Sedan,Yes,Diesel,3,232554 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
20385,AUDI,Q3,2016,Jeep,Yes,Petrol,2,74184 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
1254,AUDI,A4,2014,Sedan,Yes,Petrol,2,42395 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
549,AUDI,A6,2016,Sedan,Yes,Petrol,2,97826 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
157,AUDI,A6,2015,Sedan,Yes,Petrol,3,77333 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
9565,AUDI,A7,2014,Hatchback,Yes,Petrol,3,191373 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
79971,AUDI,A7,2016,Sedan,Yes,Petrol,3.0 Turbo,35500 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12
2509,AUDI,Allroad,2004,Universal,Yes,Petrol,2.7 Turbo,0 km,6.0,Tiptronic,4x4,04-May,Left wheel,Blue,8
29166,AUDI,Q5,2010,Jeep,Yes,Petrol,3.2,150000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,8
3058,AUDI,A7,2014,Hatchback,Yes,Petrol,3,140507 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
22580,AUDI,Q5,2010,Jeep,Yes,Petrol,3.2,150400 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,7
549,AUDI,Q7,2015,Jeep,Yes,Petrol,3,71717 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
11760,AUDI,Q5,2014,Sedan,Yes,Diesel,3,66661 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
6899,AUDI,A4,1999,Sedan,Yes,Petrol,1.9,193243 km,4.0,Manual,Front,04-May,Left wheel,Silver,6
21012,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
27284,AUDI,A4,2013,Sedan,Yes,Petrol,2.0 Turbo,144000 km,4.0,Automatic,Front,04-May,Left wheel,White,12
12231,AUDI,A6,2005,Sedan,Yes,Petrol,3.2,256000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,8
47042,AUDI,Q5,2016,Jeep,Yes,Petrol,2,56240 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
15681,AUDI,A4,2011,Sedan,Yes,Petrol,2.0 Turbo,190000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Grey,12
15994,AUDI,A6 UNIVERSAL,2005,Sedan,No,Petrol,2.4,160000 km,6.0,Automatic,Front,04-May,Left wheel,Silver,6
4800,AUDI,A6,2002,Sedan,Yes,Petrol,2.7 Turbo,0 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
392,AUDI,Q7,2011,Jeep,Yes,Diesel,3,232554 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
6743,AUDI,A3,2016,Hatchback,Yes,Hybrid,1.4,104805 km,4.0,Automatic,Front,04-May,Left wheel,White,0
100355,AUDI,A7 Prestige,2016,Sedan,Yes,Petrol,3.0 Turbo,35000 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
251,AUDI,Q7,2012,Jeep,Yes,Petrol,3,241344 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
941,AUDI,Q5,2016,Jeep,Yes,Petrol,3,448982 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
1098,AUDI,A6,2011,Sedan,Yes,Petrol,3,0 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
25089,AUDI,A7,2011,Hatchback,Yes,Petrol,3.0 Turbo,0 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,8
23834,AUDI,Q5,2010,Jeep,Yes,Petrol,3.2,280000 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12
11133,AUDI,A7,2013,Hatchback,Yes,Petrol,3,301707 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
282,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
549,AUDI,A4,2014,Sedan,Yes,Petrol,2,162032 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
549,AUDI,RS7,2014,Hatchback,Yes,Petrol,4,98446 km,8.0,Automatic,4x4,04-May,Left wheel,White,12
1254,AUDI,A4,2014,Sedan,Yes,Petrol,2,42395 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
24148,AUDI,Q5,2010,Jeep,Yes,Petrol,2.0 Turbo,18000 km,4.0,Automatic,4x4,04-May,Left wheel,White,6
9722,AUDI,A4,2003,Coupe,No,Diesel,2.0 Turbo,260000 km,4.0,Manual,Front,02-Mar,Left wheel,Silver,4
42024,AUDI,Allroad,2012,Universal,Yes,Petrol,2.0 Turbo,87000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,12
46258,AUDI,A4,2016,Sedan,Yes,Diesel,2.0 Turbo,98000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,0
11290,AUDI,Allroad,2001,Jeep,Yes,Petrol,2.7,210000 km,6.0,Manual,4x4,04-May,Left wheel,Silver,0
3136,AUDI,A6,1998,Sedan,Yes,Petrol,2.8,299689 km,6.0,Tiptronic,Front,04-May,Left wheel,Silver,6
282,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
2000,AUDI,A4,1995,Sedan,Yes,Petrol,1.8,100000 km,4.0,Manual,Front,04-May,Left wheel,Black,1
10976,AUDI,A4 S4,2008,Sedan,Yes,Petrol,2.0 Turbo,222222 km,4.0,Tiptronic,4x4,04-May,Left wheel,Grey,8
9095,AUDI,A5,2013,Coupe,Yes,Petrol,2.0 Turbo,78000 km,4.0,Tiptronic,Rear,02-Mar,Right-hand drive,Black,8
627,AUDI,Q7,2017,Jeep,Yes,Petrol,3,49602 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
862,AUDI,A4,2011,Sedan,Yes,Petrol,2,175194 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6000,AUDI,A4,2003,Sedan,Yes,Petrol,1.8 Turbo,0 km,4.0,Tiptronic,4x4,04-May,Left wheel,Grey,6
64290,AUDI,A8,2011,Sedan,Yes,Petrol,4.2,105700 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
15681,AUDI,A4,2010,Sedan,Yes,Petrol,2.0 Turbo,192000 km,4.0,Manual,4x4,04-May,Left wheel,Black,10
3293,AUDI,A4,2014,Sedan,Yes,Petrol,2,123640 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0
784,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
36692,AUDI,Q5,2012,Jeep,Yes,Petrol,3.2,56000 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,11
84675,AUDI,Allroad Allroad,2013,Universal,Yes,Diesel,3.0 Turbo,135000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Brown,8
941,AUDI,Q5,2016,Jeep,Yes,Petrol,3,448982 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
13328,AUDI,Q7,2017,Jeep,Yes,Petrol,3,44642 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
49550,AUDI,Q7,2010,Jeep,Yes,Diesel,4.2 Turbo,178000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
5018,AUDI,A4,2001,Sedan,Yes,CNG,2.8,25000 km,6.0,Tiptronic,Front,04-May,Left wheel,Silver,8
4704,AUDI,A6,1998,Sedan,No,Petrol,2.4,0 km,6.0,Manual,Front,04-May,Left wheel,Blue,6
706,AUDI,Q7,2017,Jeep,Yes,Petrol,3,14701 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
11000,AUDI,A4,2006,Sedan,No,Petrol,2,225000 km,2.0,Automatic,4x4,04-May,Left wheel,Grey,6
5018,AUDI,A4,2014,Sedan,Yes,Petrol,2,81818 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0
37947,AUDI,Q7,2018,Jeep,Yes,Petrol,3,49122 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
34497,AUDI,A7,2012,Sedan,Yes,Petrol,3.0 Turbo,83200 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,8
2500,AUDI,A6,1995,Sedan,Yes,CNG,2.8,0 km,6.0,Automatic,Front,04-May,Left wheel,Grey,4
1019,AUDI,Q5,2012,Jeep,Yes,Petrol,3.2,198744 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
24462,AUDI,A5,2009,Coupe,Yes,Petrol,3.2,100000 km,6.0,Tiptronic,4x4,02-Mar,Left wheel,Black,6
13172,AUDI,A6,2017,Sedan,Yes,Petrol,2,0 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
35124,AUDI,Q5,2017,Jeep,Yes,Petrol,2,0 km,4.0,Automatic,4x4,04-May,Left wheel,White,0
9565,AUDI,A7,2014,Hatchback,Yes,Petrol,3,191373 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
5018,AUDI,A4,2014,Sedan,Yes,Petrol,2,81818 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0
1098,AUDI,A6,2014,Sedan,Yes,Petrol,2,101179 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
2352,AUDI,Q7,2011,Sedan,Yes,Diesel,3,232554 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
8781,AUDI,A4,2002,Sedan,Yes,Petrol,3,265600 km,6.0,Manual,4x4,04-May,Left wheel,Silver,8
9565,AUDI,A7,2014,Hatchback,Yes,Petrol,3,191373 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
32302,AUDI,Q5,2011,Hatchback,Yes,Petrol,2,148000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Blue,8
16308,AUDI,Q3,2016,Jeep,Yes,Petrol,2,1717 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
18817,AUDI,A6,2014,Sedan,Yes,Petrol,2,279722 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
16308,AUDI,Q3,2016,Sedan,Yes,Petrol,2,1717 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
34845,AUDI,A8,2003,Sedan,Yes,Petrol,3.7,170000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8
7000,AUDI,A4,2002,Sedan,No,Petrol,1.8 Turbo,200000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Silver,4
1568,AUDI,A3,2012,Jeep,Yes,Diesel,2,167398 km,4.0,Automatic,Front,04-May,Left wheel,White,12
33243,AUDI,A3 PREMIUM,2015,Sedan,Yes,Petrol,1.8 Turbo,38000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,10
1254,AUDI,A4,2014,Sedan,Yes,Petrol,2,42395 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
15681,AUDI,A4,2006,Sedan,Yes,Petrol,2.0 Turbo,256000 km,4.0,Manual,4x4,04-May,Left wheel,Black,0
5500,AUDI,A6 evropuli,2000,Sedan,Yes,Petrol,2.4,11111 km,6.0,Tiptronic,Front,04-May,Left wheel,Black,6
13328,AUDI,Q7,2017,Sedan,Yes,Petrol,3,44642 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
3763,AUDI,A6,1997,Sedan,No,Petrol,2.6,111111 km,6.0,Automatic,4x4,04-May,Left wheel,Red,2
157,AUDI,A7,2014,Hatchback,Yes,Petrol,3,401128 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
37633,AUDI,Q7 sport,2011,Jeep,Yes,Diesel,3,65000 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12
2666,AUDI,A4,2012,Sedan,Yes,Petrol,2,292331 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
13000,AUDI,S6,2007,Sedan,Yes,Petrol,5.2,108000 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,6
31047,AUDI,A5,2013,Coupe,Yes,Petrol,2.0 Turbo,78400 km,4.0,Tiptronic,4x4,02-Mar,Left wheel,Black,8
18817,AUDI,A4,2011,Sedan,Yes,Petrol,2.0 Turbo,144878 km,4.0,Manual,4x4,04-May,Left wheel,Black,8
4234,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
157,AUDI,A7,2014,Hatchback,Yes,Petrol,3,401128 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
11760,AUDI,A4 Sline,2008,Sedan,Yes,Petrol,2.0 Turbo,240000 km,4.0,Tiptronic,Front,04-May,Left wheel,Blue,10
9300,AUDI,A4,2004,Sedan,Yes,Petrol,1.8 Turbo,259200 km,4.0,Tiptronic,4x4,04-May,Left wheel,Grey,6
282,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
9722,AUDI,A3,2004,Coupe,Yes,Diesel,2.0 Turbo,260000 km,4.0,Manual,Front,02-Mar,Left wheel,Silver,4
862,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
2587,AUDI,A3,2012,Sedan,Yes,Diesel,2,174966 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
19444,AUDI,A3,2011,Hatchback,Yes,Petrol,2.0 Turbo,145600 km,4.0,Manual,Front,04-May,Left wheel,Black,8
34497,AUDI,A6 premium plus,2013,Sedan,Yes,Petrol,3.0 Turbo,107000 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12
29793,AUDI,A4,2013,Sedan,Yes,Petrol,2.0 Turbo,176000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,10
11290,AUDI,A7,2014,Hatchback,Yes,Petrol,3,0 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
21950,AUDI,A3 4X4,2018,Sedan,Yes,Petrol,2,18283 km,4.0,Automatic,4x4,04-May,Left wheel,Black,10
2901,AUDI,A7,2014,Hatchback,Yes,Petrol,3,140507 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
8154,AUDI,Q5,2012,Jeep,Yes,Petrol,2,157464 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,0
13328,AUDI,Q7,2017,Sedan,Yes,Petrol,3,44642 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
3800,AUDI,A6,1998,Sedan,Yes,Petrol,2.8,416000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Golden,0
1646,AUDI,A4,2011,Sedan,Yes,Petrol,2,124958 km,4.0,Automatic,4x4,04-May,Left wheel,White,12
1254,AUDI,A4,2014,Sedan,Yes,Petrol,2,42395 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
42337,AUDI,Q5 S-line,2013,Jeep,Yes,Petrol,3.0 Turbo,139259 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
549,AUDI,A7,2016,Hatchback,Yes,Petrol,3,97589 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
5466,AUDI,A6,2008,Sedan,Yes,Petrol,3.2,147168 km,6.0,Tiptronic,4x4,04-May,Left wheel,Golden,12
14113,AUDI,A6,2006,Sedan,Yes,Petrol,3.2,260000 km,12.0,Tiptronic,Front,04-May,Left wheel,Silver,12
17249,AUDI,A4,2010,Sedan,Yes,Petrol,2.0 Turbo,167000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Blue,4
3058,AUDI,A7,2014,Hatchback,Yes,Petrol,3,140507 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
4077,AUDI,Q5,2010,Jeep,Yes,Petrol,3.2,282643 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12
13485,AUDI,A6,2008,Sedan,Yes,Petrol,3.2,268800 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,8
27911,AUDI,A4,2011,Sedan,Yes,Petrol,2.0 Turbo,147200 km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,12
35800,AUDI,Q5,2012,Jeep,Yes,Petrol,3.2,98000 km,1.0,Tiptronic,4x4,04-May,Left wheel,Black,12
10663,AUDI,Q7,2014,Jeep,Yes,Diesel,3,98803 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
549,AUDI,RS7,2016,Hatchback,Yes,Petrol,4,112701 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,12
14113,AUDI,A4,2008,Sedan,Yes,Petrol,2.0 Turbo,190400 km,6.0,Variator,Front,04-May,Left wheel,Black,12
2352,AUDI,Q7,2011,Sedan,Yes,Diesel,3,232554 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
3920,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
6429,AUDI,A7,2013,Hatchback,Yes,Petrol,3,301707 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
67000,AUDI,A7,2014,Sedan,Yes,Petrol,3,50000 km,1.0,Tiptronic,4x4,04-May,Left wheel,Black,12
43000,AUDI,Q7,2011,Jeep,Yes,Diesel,3,190000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12
251,AUDI,Q7,2012,Jeep,Yes,Petrol,3,241344 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
470,AUDI,Q5,2012,Jeep,Yes,Petrol,2,340106 km,4.0,Automatic,4x4,04-May,Left wheel,White,0
862,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
3058,AUDI,A7,2014,Hatchback,Yes,Petrol,3,140507 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
549,AUDI,A6,2016,Sedan,Yes,Petrol,2,97826 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
6899,AUDI,A4,2003,Sedan,Yes,Petrol,1.8 Turbo,150000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,8
9565,AUDI,A7,2014,Hatchback,Yes,Petrol,3,191373 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
2666,AUDI,Q7,2014,Jeep,Yes,Petrol,3,85328 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
11604,AUDI,TT,2000,Coupe,Yes,Petrol,1.8 Turbo,175650 km,4.0,Manual,4x4,02-Mar,Left wheel,Silver,6
18817,AUDI,A6,2014,Sedan,Yes,Petrol,2,279722 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
14113,AUDI,S3,2016,Sedan,Yes,Petrol,2,61410 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,12
3100,AUDI,A4,2002,Sedan,Yes,Petrol,3,11111 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,6
706,AUDI,A4,2014,Sedan,Yes,Petrol,2,162032 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
941,AUDI,Q5,2016,Jeep,Yes,Petrol,3,448982 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
10036,AUDI,A4,2002,Sedan,Yes,Petrol,1.8 Turbo,324000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Silver,4
1254,AUDI,A4,2014,Sedan,Yes,Petrol,2,42395 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
549,AUDI,A6,2016,Sedan,Yes,Petrol,2,97826 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,0
157,AUDI,A7,2014,Hatchback,Yes,Petrol,3,401128 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
282,AUDI,A4,2013,Sedan,Yes,Petrol,2,157584 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
549,AUDI,100,2014,Jeep,Yes,Petrol,3,143392 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
37633,AUDI,A8,2008,Sedan,Yes,Diesel,3,265000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8
10349,AUDI,A4,2007,Sedan,Yes,Petrol,2.4,150000 km,6.0,Manual,4x4,04-May,Left wheel,Grey,4
314,AUDI,Q5,2011,Jeep,Yes,Petrol,2,287021 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
470,AUDI,Q5,2012,Jeep,Yes,Petrol,2,340106 km,4.0,Automatic,4x4,04-May,Left wheel,White,0
14740,AUDI,Q5,2011,Jeep,No,Petrol,3.2,174000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,0
11133,AUDI,A7,2013,Hatchback,Yes,Petrol,3,301707 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
